frame_id,variant,N_orig,N_vox,n_channels,prelude_ms,forward_ms,inverse_ms,total_raht_ms
0,pytorch,142273,142113,11,31.00031700000727,50.422632000049816,50.46874399999979,131.89169300005688
0,cuda,142273,142113,11,12.082361000011588,5.8383929999763495,9.880471999963447,27.801225999951384
10,pytorch,142273,142108,11,30.910395999967477,52.69585099995311,48.11894799991023,131.72519499983082
10,cuda,142273,142108,11,11.557777999996688,5.8428739999953905,9.928697000077591,27.32934900006967
20,pytorch,137586,137417,11,30.84697100007361,53.43349500003569,47.82201700004407,132.10248300015337
20,cuda,137586,137417,11,11.443024999948648,5.746616000010363,9.634036000079504,26.823677000038515
30,pytorch,137586,137446,11,30.114127999922857,51.32530299999871,45.683807999921555,127.12323899984312
30,cuda,137586,137446,11,12.101690000008603,5.584982000073069,9.485745999995743,27.172418000077414
40,pytorch,127540,127414,11,29.77674599992497,50.01536199995371,48.24970399999984,128.04181199987852
40,cuda,127540,127414,11,10.636771999998018,5.394706999936716,8.945546000063587,24.97702499999832
50,pytorch,127540,127390,11,29.592681000053744,49.823968000055174,48.74331100006657,128.1599600001755
50,cuda,127540,127390,11,10.77264599996397,5.28094499998133,8.857031999923493,24.910622999868792
60,pytorch,123593,123458,11,29.91771000006338,47.37986700001784,45.162136000044484,122.4597130001257
60,cuda,123593,123458,11,10.636419999968894,5.0291009999909875,8.475427000007585,24.140947999967466
70,pytorch,123593,123452,11,29.78068400000211,47.27039399995192,45.672384999988935,122.72346299994297
70,cuda,123593,123452,11,10.69066100001237,5.223888999921655,8.62829300001522,24.542842999949244
80,pytorch,124644,124533,11,29.601288999970166,47.13675899995451,45.623488000046564,122.36153599997124
80,cuda,124644,124533,11,10.700933999942208,5.092814000022372,8.526114999995116,24.319862999959696
90,pytorch,124644,124537,11,29.652169999963007,47.401916000012534,45.59705599990593,122.65114199988147
90,cuda,124644,124537,11,10.74483800005055,5.238192999968305,8.687046000090959,24.670077000109814
100,pytorch,132365,132218,11,29.49562399999195,48.152297000001454,45.29106799998317,122.93898899997657
100,cuda,132365,132218,11,10.946409999974094,5.341617999988557,9.247630999993817,25.535658999956468
110,pytorch,132365,132242,11,29.6049700000367,48.44718099991496,45.113145999948756,123.16529699990042
110,cuda,132365,132242,11,10.91671199992561,5.4343240000207516,9.156653999980335,25.507689999926697
120,pytorch,133566,133425,11,29.329318000009152,48.3697710000115,48.43303600000581,126.13212500002646
120,cuda,133566,133425,11,11.057642999958261,5.577622000032534,9.384785000065676,26.02005000005647
130,pytorch,133566,133450,11,29.315109999970446,50.99621399995158,45.209212000031584,125.52053599995361
130,cuda,133566,133450,11,10.747813999955724,5.466196000043055,9.047339999938231,25.26134999993701
140,pytorch,130021,129875,11,30.11976200002664,50.062278999917,48.614193000048544,128.79623399999218
140,cuda,130021,129875,11,10.816647999945417,5.449907999945935,9.088236000025063,25.354791999916415
150,pytorch,130021,129899,11,30.14696200000344,50.30410800009122,48.80552500003432,129.25659500012898
150,cuda,130021,129899,11,10.8426970000437,5.40961999990941,9.049835999917377,25.302152999870486
160,pytorch,128753,128619,11,29.865679000067757,49.486110999964694,45.52812899999026,124.87991900002271
160,cuda,128753,128619,11,10.731974000009359,5.236561000060647,8.808265000084248,24.776800000154253
170,pytorch,128753,128635,11,30.030961000079515,49.705121999977564,46.0051930000418,125.74127600009888
170,cuda,128753,128635,11,10.62941200007117,5.1575520000142205,8.776615999977366,24.563580000062757
180,pytorch,131055,130906,11,30.079346999968948,49.73216400003366,48.29447800000253,128.10598900000514
180,cuda,131055,130906,11,11.080460000016501,5.47237299997505,9.154222000006484,25.707054999998036
190,pytorch,131055,130921,11,30.002194000076088,50.45377500005088,48.54212899999766,128.99809800012463
190,cuda,131055,130921,11,10.756678999996439,5.438067999989471,9.099597999920661,25.29434499990657
