frame_id,variant,N_orig,N_vox,n_channels,prelude_ms,forward_ms,inverse_ms,total_raht_ms
1,pytorch,396132,218410,35,34.54494299990074,74.79791600007957,77.63703399996302,186.97989299994333
1,cuda,396132,218410,35,14.814666999996007,18.453246000035506,42.37138300004517,75.63929600007668
11,pytorch,396205,228791,35,36.017530999970404,88.86990099995273,86.3670070000353,211.25443899995844
11,cuda,396205,228791,35,16.397525000002133,19.432101000006696,35.82936899999822,71.65899500000705
21,pytorch,396334,235080,35,34.588658999950894,81.62723899999946,81.23923699997704,197.4551349999274
21,cuda,396334,235080,35,15.377007999973102,19.674630000054094,39.021806000050674,74.07344400007787
31,pytorch,396483,239747,35,33.96984300002259,66.48367899992991,81.85415999992074,182.30768199987324
31,cuda,396483,239747,35,14.981551000005311,20.040841999957593,34.73288800000773,69.75528099997064
41,pytorch,396678,243420,35,37.650538999969285,90.46823100004531,88.26994700007162,216.38871700008622
41,cuda,396678,243420,35,16.672217999939676,20.51611000001685,37.20528799999556,74.39361599995209
51,pytorch,396866,246070,35,34.08949599997868,81.3357659999383,81.81337199994232,197.2386339998593
51,cuda,396866,246070,35,15.604245999952582,20.412015000033534,40.21199600003911,76.22825700002522
61,pytorch,397063,248723,35,36.82097000000795,65.98301700000775,82.08812999998827,184.89211700000396
61,cuda,397063,248723,35,15.437971999972433,20.678610000004483,35.66477099991516,71.78135299989208
71,pytorch,397289,251100,35,38.21746099993106,101.03953899999851,89.37893099994199,228.63593099987156
71,cuda,397289,251100,35,16.43669999998565,20.758034999971642,41.981130000067424,79.17586500002471
81,pytorch,397564,253707,35,34.21510299995134,80.75812100003077,85.82957500004795,200.80279900003006
81,cuda,397564,253707,35,15.92457000003833,20.941686999890408,38.863773000002766,75.7300299999315
91,pytorch,397947,255575,35,33.89868800002205,78.47298899991983,93.26859299994794,205.64026999988982
91,cuda,397947,255575,35,17.154432999973324,21.333625000011125,44.16517900006056,82.65323700004501
101,pytorch,398231,257650,35,33.86749100002362,75.59038800002327,81.92549699992924,191.38337599997612
101,cuda,398231,257650,35,15.6132100000832,21.271387000069808,44.077406000042174,80.96200300019518
111,pytorch,398536,259513,35,33.79610199999661,68.21118400000614,80.93221800004358,182.93950400004633
111,cuda,398536,259513,35,15.211193000027379,21.587741999951504,44.938023999975485,81.73695899995437
121,pytorch,398814,261298,35,33.63437400003022,65.79529800001183,81.21189999997114,180.64157200001318
121,cuda,398814,261298,35,15.498138999987532,21.560126999929707,36.72671299989361,73.78497899981085
131,pytorch,399155,263147,35,38.96163999991131,102.09321600007115,100.1978770000278,241.25273300001027
131,cuda,399155,263147,35,18.045324000013352,21.943810000038866,37.38300600002731,77.37214000007953
141,pytorch,399558,264546,35,34.143790000030094,78.01519199995255,91.21930399999201,203.37828599997465
141,cuda,399558,264546,35,17.78686000000107,22.007812999959242,43.401287000051525,83.19596000001184
151,pytorch,400177,266033,35,33.964012999945226,77.44120699999257,90.54263600000922,201.94785599994702
151,cuda,400177,266033,35,17.767469999967034,21.88903000001119,40.37996099998509,80.03646099996331
161,pytorch,401517,267563,35,39.34177799999361,104.20704099999512,87.38632899996901,230.93514799995774
161,cuda,401517,267563,35,16.411747999995896,21.96067900001708,39.3923699999732,77.76479699998617
171,pytorch,403107,269000,35,39.16014899994025,105.7586760000504,95.72661300001073,240.64543800000138
171,cuda,403107,269000,35,18.314865999968788,22.23575499999697,38.676625999983116,79.22724699994887
181,pytorch,405131,270489,35,34.8118039999008,71.43066000003273,93.6760490000097,199.91851299994323
181,cuda,405131,270489,35,17.610574999935125,22.424782000030064,42.51438199992208,82.54973899988727
191,pytorch,408397,272002,35,34.17951300002642,73.93099700004768,88.41864500004704,196.52915500012114
191,cuda,408397,272002,35,15.679364999982681,22.28753500003222,37.83016299996689,75.79706299998179
201,pytorch,412815,273355,35,36.28039299996999,86.02349599993886,93.60917699996207,215.91306599987092
201,cuda,412815,273355,35,17.591760999948747,22.37022400004207,44.129660000066906,84.09164500005772
211,pytorch,417274,275020,35,35.81594500008123,81.6116039999315,86.94859800004906,204.3761470000618
211,cuda,417274,275020,35,16.33130599998367,22.459763000028943,44.86688400004368,83.6579530000563
221,pytorch,421366,276556,35,37.364182000033,86.74562900000637,92.59625900006085,216.70607000010023
221,cuda,421366,276556,35,17.383506999976817,22.607286000038584,38.797535999947286,78.78832899996269
231,pytorch,425499,278050,35,37.754201000097964,86.34441199990306,87.82077999990179,211.9193929999028
231,cuda,425499,278050,35,17.248340000037388,22.70556000007673,41.7115110000168,81.66541100013092
241,pytorch,430132,279819,35,36.4160520000496,95.08268500007944,91.03993700000501,222.53867400013405
241,cuda,430132,279819,35,16.73294399995484,23.10703500006639,37.7927650000629,77.63274400008413
251,pytorch,435085,281268,35,37.80790399991929,96.67073499997514,97.94524000005822,232.42387899995265
251,cuda,435085,281268,35,19.106912999973247,23.207581999940885,45.36478700003954,87.67928199995367
261,pytorch,440049,282704,35,39.44852699999046,91.0028330000614,97.67315099998086,228.12451100003273
261,cuda,440049,282704,35,19.132900000045083,23.25004700003319,45.3501670000378,87.73311400011607
271,pytorch,444731,284335,35,40.90038000003915,103.4729430000425,96.86422499999026,241.2375480000719
271,cuda,444731,284335,35,18.675170000051367,23.13292899998487,48.08833399999912,89.89643300003536
281,pytorch,449567,286083,35,39.461332999962906,105.4091899999321,100.77491799995641,245.64544099985142
281,cuda,449567,286083,35,19.770059000052242,23.467973000038,39.54015099998287,82.77818300007311
291,pytorch,453743,287397,35,43.80376400001751,77.58323400003064,77.02848500002801,198.41548300007616
291,cuda,453743,287397,35,14.054435999923953,17.68572600008156,37.62545299991871,69.36561499992422
