frame_id,variant,num_symbols,num_channels,rlgr_encode_ms,rlgr_decode_ms,transfer_to_cpu_ms,transfer_to_gpu_ms,pure_rlgr_encode_ms,pure_rlgr_decode_ms,compressed_size_bytes,correct
1,cpu,169854,35,100.54412798490375,130.16325401258655,5.6030139967333525,77.81938699190505,94.9411139881704,52.3438670206815,1236555,True
1,gpu_full,169854,35,511.96272298693657,428.9001259894576,0.0,0.0,511.96272298693657,428.9001259894576,1236552,True
1,gpu_8192,169854,35,29.808637977112085,27.007914992282167,0.0,0.0,29.808637977112085,27.007914992282167,1238135,True
1,gpu_4096,169854,35,15.214525017654523,14.655831997515634,0.0,0.0,15.214525017654523,14.655831997515634,1239854,True
1,gpu_2048,169854,35,8.307562995469198,8.48868500906974,0.0,0.0,8.307562995469198,8.48868500906974,1243281,True
1,gpu_1024,169854,35,5.896151007618755,6.111667986260727,0.0,0.0,5.896151007618755,6.111667986260727,1248127,True
1,gpu_512,169854,35,5.823554995004088,5.2771490009035915,0.0,0.0,5.823554995004088,5.2771490009035915,1260035,True
1,gpu_256,169854,35,5.364621989428997,5.305048020090908,0.0,0.0,5.364621989428997,5.305048020090908,1275301,True
1,gpu_128,169854,35,4.915033001452684,5.5010810028761625,0.0,0.0,4.915033001452684,5.5010810028761625,1315421,True
1,gpu_64,169854,35,4.997739015379921,5.287131003569812,0.0,0.0,4.997739015379921,5.287131003569812,1395867,True
1,gpu_32,169854,35,5.383915005950257,5.332467990228906,0.0,0.0,5.383915005950257,5.332467990228906,1477323,True
51,cpu,183764,35,108.08460498810746,142.56969999405555,3.563959995517507,84.35643400298432,104.52064499258995,58.21326599107124,1383598,True
51,gpu_full,183764,35,570.2497469901573,470.12920302222483,0.0,0.0,570.2497469901573,470.12920302222483,1383598,True
51,gpu_8192,183764,35,32.33515200554393,27.79570300481282,0.0,0.0,32.33515200554393,27.79570300481282,1385414,True
51,gpu_4096,183764,35,15.525488997809589,15.169452002737671,0.0,0.0,15.525488997809589,15.169452002737671,1387206,True
51,gpu_2048,183764,35,8.802174008451402,8.635640988359228,0.0,0.0,8.802174008451402,8.635640988359228,1390904,True
51,gpu_1024,183764,35,6.947565998416394,6.135411007562652,0.0,0.0,6.947565998416394,6.135411007562652,1396052,True
51,gpu_512,183764,35,6.361486011883244,5.42669597780332,0.0,0.0,6.361486011883244,5.42669597780332,1408993,True
51,gpu_256,183764,35,5.650434002745897,5.742227018345147,0.0,0.0,5.650434002745897,5.742227018345147,1425361,True
51,gpu_128,183764,35,5.490332987392321,5.74622699059546,0.0,0.0,5.490332987392321,5.74622699059546,1468672,True
51,gpu_64,183764,35,5.537941004149616,5.636357003822923,0.0,0.0,5.537941004149616,5.636357003822923,1555635,True
51,gpu_32,183764,35,5.913590983254835,5.668383004376665,0.0,0.0,5.913590983254835,5.668383004376665,1644239,True
101,cpu,190481,35,113.95998802618124,149.09309998620301,3.588916006265208,87.87231199676171,110.37107201991603,61.220787989441305,1449591,True
101,gpu_full,190481,35,590.816868992988,482.46083699632436,0.0,0.0,590.816868992988,482.46083699632436,1449588,True
101,gpu_8192,190481,35,32.309314992744476,27.436831005616114,0.0,0.0,32.309314992744476,27.436831005616114,1451530,True
101,gpu_4096,190481,35,15.565650013741106,14.841640018858016,0.0,0.0,15.565650013741106,14.841640018858016,1453487,True
101,gpu_2048,190481,35,8.127121021971107,8.680151018779725,0.0,0.0,8.127121021971107,8.680151018779725,1457476,True
101,gpu_1024,190481,35,6.869630014989525,6.20689001516439,0.0,0.0,6.869630014989525,6.20689001516439,1463104,True
101,gpu_512,190481,35,6.041861022822559,5.728057003580034,0.0,0.0,6.041861022822559,5.728057003580034,1476569,True
101,gpu_256,190481,35,5.778832011856139,6.045507994713262,0.0,0.0,5.778832011856139,6.045507994713262,1493636,True
101,gpu_128,190481,35,5.676704982761294,6.118936027633026,0.0,0.0,5.676704982761294,6.118936027633026,1538058,True
101,gpu_64,190481,35,5.781551997642964,5.965234013274312,0.0,0.0,5.781551997642964,5.965234013274312,1628194,True
101,gpu_32,190481,35,6.225863005965948,6.027944007655606,0.0,0.0,6.225863005965948,6.027944007655606,1720773,True
151,cpu,195409,35,116.18550500134006,155.00556500046514,3.4215530031360686,89.49795900844038,112.76395199820399,65.50760599202476,1497655,True
151,gpu_full,195409,35,601.2894999876153,493.6909469834063,0.0,0.0,601.2894999876153,493.6909469834063,1497655,True
151,gpu_8192,195409,35,30.219712993130088,29.156308009987697,0.0,0.0,30.219712993130088,29.156308009987697,1499624,True
151,gpu_4096,195409,35,17.720667005050927,15.222704998450354,0.0,0.0,17.720667005050927,15.222704998450354,1501623,True
151,gpu_2048,195409,35,9.133585001109168,9.200870001222938,0.0,0.0,9.133585001109168,9.200870001222938,1505618,True
151,gpu_1024,195409,35,7.30393102276139,6.695389980450273,0.0,0.0,7.30393102276139,6.695389980450273,1511373,True
151,gpu_512,195409,35,6.300669978372753,6.200686009833589,0.0,0.0,6.300669978372753,6.200686009833589,1525382,True
151,gpu_256,195409,35,5.862884980160743,6.550838006660342,0.0,0.0,5.862884980160743,6.550838006660342,1543080,True
151,gpu_128,195409,35,5.994992010528222,6.455716997152194,0.0,0.0,5.994992010528222,6.455716997152194,1589016,True
151,gpu_64,195409,35,6.02541898842901,6.443463003961369,0.0,0.0,6.02541898842901,6.443463003961369,1681326,True
151,gpu_32,195409,35,6.683680025162175,6.439560005674139,0.0,0.0,6.683680025162175,6.439560005674139,1777585,True
201,cpu,199354,35,119.26058097742498,158.8123160181567,3.4958149772137403,92.46148800593801,115.76476600021124,66.3508280122187,1526198,True
201,gpu_full,199354,35,607.493321003858,502.29829899035394,0.0,0.0,607.493321003858,502.29829899035394,1526197,True
201,gpu_8192,199354,35,32.44666100363247,28.07249201578088,0.0,0.0,32.44666100363247,28.07249201578088,1528024,True
201,gpu_4096,199354,35,17.78213301440701,15.616501012118533,0.0,0.0,17.78213301440701,15.616501012118533,1530001,True
201,gpu_2048,199354,35,8.919317973777652,9.161230002064258,0.0,0.0,8.919317973777652,9.161230002064258,1534206,True
201,gpu_1024,199354,35,6.98484800523147,6.830697995610535,0.0,0.0,6.98484800523147,6.830697995610535,1539852,True
201,gpu_512,199354,35,6.19230599841103,6.360981991747394,0.0,0.0,6.19230599841103,6.360981991747394,1554065,True
201,gpu_256,199354,35,5.8993610145989805,6.72879398916848,0.0,0.0,5.8993610145989805,6.72879398916848,1572629,True
201,gpu_128,199354,35,5.947672994807363,6.613516976358369,0.0,0.0,5.947672994807363,6.613516976358369,1619780,True
