frame_id,variant,N_orig,N_vox,n_channels,prelude_ms,forward_ms,inverse_ms,total_raht_ms
0,pytorch,142273,142113,56,29.788817000053314,77.1012029999838,72.89544100001422,179.78546100005133
0,cuda,142273,142113,56,12.277888000085113,18.309501999965505,18.3127020000029,48.90009200005352
10,pytorch,142273,142108,56,29.233096999973895,76.69287700002769,72.6503829999956,178.5763569999972
10,cuda,142273,142108,56,12.256704000037644,18.35913500008246,13.798903000065366,44.41474200018547
20,pytorch,137586,137417,56,30.243448000078388,74.84193700008746,73.31816900000376,178.4035540001696
20,cuda,137586,137417,56,12.212255000008554,17.905975999951806,17.93458399993142,48.05281499989178
30,pytorch,137586,137446,56,28.573886000003768,71.48870199989688,70.17572100005509,170.23830899995573
30,cuda,137586,137446,56,11.575061000030473,18.15721200000553,17.94924099999662,47.68151400003262
40,pytorch,127540,127414,56,29.45345199998428,69.65676899994833,67.01077599996097,166.12099699989358
40,cuda,127540,127414,56,11.102188999984719,16.58614799998759,16.627716000016335,44.31605299998864
50,pytorch,127540,127390,56,29.056325999931687,71.000887000082,67.4006389999704,167.4578519999841
50,cuda,127540,127390,56,11.263344999974834,16.587971999911133,15.297424000095816,43.14874099998178
60,pytorch,123593,123458,56,29.57159799996134,74.38273200000367,68.39537400003337,172.34970399999838
60,cuda,123593,123458,56,11.287313000025279,16.146236999929897,16.058459000078074,43.49200900003325
70,pytorch,123593,123452,56,29.54059099999995,75.1893699999755,68.58827500002462,173.31823600000007
70,cuda,123593,123452,56,11.230704000013247,16.11842899990279,16.17260599994097,43.52173899985701
80,pytorch,124644,124533,56,29.31687500006319,73.29087699997672,71.74944500002312,174.35719700006302
80,cuda,124644,124533,56,11.641909999980271,16.278399000043464,16.24271899993346,44.163027999957194
90,pytorch,124644,124537,56,29.44353400005184,68.53608400001576,66.23140700003205,164.21102500009965
90,cuda,124644,124537,56,11.011244000087572,16.258462999985568,16.28150400006234,43.55121100013548
100,pytorch,132365,132218,56,29.297260000021197,77.95629500003542,70.6810440000254,177.93459900008202
100,cuda,132365,132218,56,11.676406999981737,17.35403200007113,17.35204800002066,46.382487000073525
110,pytorch,132365,132242,56,28.986696000060874,76.40315200001169,76.80626299998039,182.19611100005295
110,cuda,132365,132242,56,11.798488999943402,17.382960999952957,17.490611000084755,46.67206099998111
120,pytorch,133566,133425,56,31.336875999954827,79.3361900000491,77.44326400006685,188.11633000007077
120,cuda,133566,133425,56,12.368801999969037,17.56683600001452,17.51787500006685,47.45351300005041
130,pytorch,133566,133450,56,30.708994999940842,72.54011600002741,69.18479900002694,172.4339099999952
130,cuda,133566,133450,56,11.611637999976665,17.351056999928005,17.35236799993345,46.31506299983812
140,pytorch,130021,129875,56,29.630097999984173,73.36320199999591,73.38125000001128,176.37454999999136
140,cuda,130021,129875,56,11.709623999990981,16.86976999997114,16.95434699990983,45.53374099987195
150,pytorch,130021,129899,56,29.433230999984517,72.50155799999902,68.58600800001113,170.52079699999467
150,cuda,130021,129899,56,11.345651000056023,16.969898999946054,16.848425000034695,45.16397500003677
160,pytorch,128753,128619,56,29.790869000066778,68.8575959999298,67.03401600009329,165.68248100008987
160,cuda,128753,128619,56,11.272370000028786,16.713255000013305,16.778087999909985,44.76371299995208
170,pytorch,128753,128635,56,29.610130000037316,69.60768800001915,67.20038799994654,166.418206000003
170,cuda,128753,128635,56,11.213136000037593,16.812808000054247,16.821480999965388,44.84742500005723
180,pytorch,131055,130906,56,30.047130000070865,76.5210140000363,75.95495700002175,182.52310100012892
180,cuda,131055,130906,56,12.2142080000458,17.235471000049074,17.196975000047132,46.64665400014201
190,pytorch,131055,130921,56,30.47625599992898,71.56570400002238,69.45661600002495,171.4985759999763
190,cuda,131055,130921,56,11.412436000000525,17.167567000001327,17.351666000081423,45.931669000083275
